RBD|NOM_RBD|COD_REG_RBD|COD_PRO_RBD|COD_COM_RBD|NOM_REGI_N|NOM_PROVINCIA|COD_DEPROV|NOM_DEPROV|NOM_COMUNA|grado|ind_am_rbd|dim_am_aa_rbd|dim_am_me_rbd|ind_cc_rbd|dim_cc_ao_rbd|dim_cc_ar_rbd|dim_cc_as_rbd|ind_hv_rbd|dim_hv_ac_rbd|dim_hv_ha_rbd|dim_hv_va_rbd|ind_pf_rbd|dim_pf_pa_rbd|dim_pf_sp_rbd|dim_pf_vd_rbd|cod_depe2|cod_grupo|cod_rural_rbd
1|LICEO POLITECNICO ARICA|15|151|15101|REGIÓN DE ARICA Y PARINACOTA|ARICA|151|ARICA|ARICA|2m|73.593053205|68.896633962|78.289472447|73.712096068|82.365656916|66.591853218|72.17877807|65.12454768|66.815273403|67.072768589|61.485601049|78.117697771|78.210162067|76.851834298|79.29109695|1|1|1
4|LICEO OCTAVIO PALMA PEREZ|15|151|15101|REGIÓN DE ARICA Y PARINACOTA|ARICA|151|ARICA|ARICA|2m|74.983241974|71.771013058|78.19547089|77.968386091|83.984991518|71.541581411|78.378585346|70.299922261|81.587001704|68.195523471|61.117241608|80.103023336|75.433791867|81.53050355|83.344774591|1|2|1
5|JOVINA NARANJO FERNANDEZ|15|151|15101|REGIÓN DE ARICA Y PARINACOTA|ARICA|151|ARICA|ARICA|2m|78.068536366|74.856796058|81.280276675|78.771248991|85.224531867|73.099015637|77.99019947|68.718553252|76.382295967|67.188499201|62.584864588|80.140260622|75.471909896|79.956457464|84.992414505|1|2|1
7|L. POLI. ANTONIO VARAS DE LA BARRA|15|151|15101|REGIÓN DE ARICA Y PARINACOTA|ARICA|151|ARICA|ARICA|2m|71.040488891|67.860102072|74.220875709|76.395483447|82.796654083|68.452931646|77.936864611|66.432191353|70.402992611|65.819509199|63.074072248|75.334666694|75.743733391|76.747525299|73.512741391|1|1|1
8|COLEGIO INTEGRADO EDUARDO FREI MONTALVA|15|151|15101|REGIÓN DE ARICA Y PARINACOTA|ARICA|151|ARICA|ARICA|2m|79.604776653|76.813442279|82.396111028|80.229038074|87.106877119|73.187095964|80.393141139|77.338603232|82.38733423|79.959601978|69.668873488|82.541297906|81.598812454|81.189122178|84.835959087|1|2|1
15|LICEO ARTISTICO DR. JUAN NOE CREVANI|15|151|15101|REGIÓN DE ARICA Y PARINACOTA|ARICA|151|ARICA|ARICA|2m|71.984137594|68.533603853|75.434671335|73.544394157|79.724849046|64.417105097|76.49122833|75.581875477|83.666267614|77.74286795|65.336490868|82.605657377|81.742584129|83.074389767|82.999998235|1|2|1
25|COLEGIO CENTENARIO DE ARICA|15|151|15101|REGIÓN DE ARICA Y PARINACOTA|ARICA|151|ARICA|ARICA|2m|75.150797765|71.608036631|78.6935589|73.90046995|79.413306072|67.609233281|74.678870497|66.735704777|75.800610034|65.267282973|59.139221324|75.409206359|72.629058994|78.012146184|75.586413899|1|2|1
32|LICEO AGRICOLA JOSE ABELARDO NUNEZ M.|15|151|15101|REGIÓN DE ARICA Y PARINACOTA|ARICA|151|ARICA|ARICA|2m|76.166362753|71.970215859|80.362509646|75.158309126|82.434347237|68.089915918|74.950664223|71.837002175|74.216047628|77.559265519|63.735693378|77.569435233|79.133586649|73.94503213|79.629686919|1|1|2
45|COLEGIO ITALIANO SANTA ANA|15|151|15101|REGIÓN DE ARICA Y PARINACOTA|ARICA|151|ARICA|ARICA|2m|79.255927643|76.104145836|82.40770945|83.687103402|88.11740292|75.571136142|87.372771144|75.29340861|78.227254672|82.762889639|64.890081519|80.515365046|81.008803418|82.75037482|77.7869169|2|3|1
50|COLEGIO ADVENTISTA DE ARICA|15|151|15101|REGIÓN DE ARICA Y PARINACOTA|ARICA|151|ARICA|ARICA|2m|75.450745378|73.120535098|77.780955657|77.748361283|81.630624459|71.119939564|80.494519825|76.600254464|83.283071459|82.873406307|63.644285627|75.482915177|76.286641509|76.882778706|73.279325316|2|3|1
